Day_Month,Month_Name,Count
13-01,January,1
14-02,February,1
15-02,February,1
23-02,February,1
3-May,March,1
3-Jun,March,1
3-Jul,March,1
3-Aug,March,1
3-Sep,March,1
3-Oct,March,1
14-03,March,1
16-03,March,1
17-03,March,1
21-03,March,1
27-03,March,2
29-03,March,1
4-Apr,April,1
4-Sep,April,2
4-Oct,April,1
4-Nov,April,1
4-Dec,April,3
15-04,April,2
17-04,April,3
19-04,April,2
20-04,April,1
21-04,April,2
22-04,April,2
23-04,April,2
24-04,April,1
25-04,April,1
26-04,April,1
27-04,April,1
29-04,April,3
5-Jan,May,2
5-Feb,May,1
5-May,May,3
5-Jun,May,2
5-Jul,May,2
5-Aug,May,2
5-Sep,May,3
5-Oct,May,1
5-Nov,May,1
5-Dec,May,3
13-05,May,3
14-05,May,3
15-05,May,5
16-05,May,5
17-05,May,4
18-05,May,6
19-05,May,5
20-05,May,6
21-05,May,4
22-05,May,3
23-05,May,7
24-05,May,8
25-05,May,8
26-05,May,6
27-05,May,4
28-05,May,7
29-05,May,7
30-05,May,9
31-05,May,7
6-Jan,June,5
6-Feb,June,4
6-Mar,June,5
6-Apr,June,8
6-May,June,8
6-Jun,June,11
6-Jul,June,8
6-Aug,June,7
6-Sep,June,8
6-Oct,June,8
6-Nov,June,8
6-Dec,June,9
13-06,June,7
14-06,June,8
15-06,June,5
16-06,June,6
17-06,June,7
18-06,June,5
19-06,June,7
20-06,June,6
21-06,June,5
22-06,June,6
23-06,June,7
24-06,June,7
25-06,June,9
26-06,June,6
27-06,June,3
28-06,June,5
29-06,June,2
30-06,June,4
7-Jan,July,4
7-Feb,July,5
7-Mar,July,5
7-Apr,July,6
7-May,July,6
7-Jun,July,6
7-Jul,July,7
7-Aug,July,4
7-Sep,July,6
7-Oct,July,8
7-Nov,July,9
7-Dec,July,6
13-07,July,4
14-07,July,5
15-07,July,6
16-07,July,7
17-07,July,6
18-07,July,5
19-07,July,4
20-07,July,5
21-07,July,3
22-07,July,2
23-07,July,3
24-07,July,5
25-07,July,4
26-07,July,1
27-07,July,1
28-07,July,1
29-07,July,2
30-07,July,1
31-07,July,2
8-Jan,August,3
8-Feb,August,3
8-Mar,August,3
8-Apr,August,2
8-May,August,5
8-Jun,August,5
8-Jul,August,5
8-Aug,August,4
8-Sep,August,5
8-Oct,August,4
8-Nov,August,5
8-Dec,August,5
13-08,August,3
14-08,August,4
15-08,August,4
16-08,August,3
17-08,August,4
18-08,August,4
19-08,August,1
20-08,August,3
21-08,August,3
22-08,August,2
23-08,August,3
24-08,August,1
25-08,August,3
26-08,August,5
27-08,August,3
28-08,August,4
29-08,August,4
30-08,August,8
31-08,August,2
9-Jan,September,4
9-Feb,September,1
9-Mar,September,5
9-Apr,September,2
9-May,September,1
9-Jun,September,5
9-Jul,September,4
9-Aug,September,3
9-Sep,September,5
9-Oct,September,5
9-Nov,September,2
9-Dec,September,4
13-09,September,5
14-09,September,6
15-09,September,4
16-09,September,4
17-09,September,6
18-09,September,3
19-09,September,7
20-09,September,4
21-09,September,4
22-09,September,2
23-09,September,3
24-09,September,3
25-09,September,3
26-09,September,3
27-09,September,3
28-09,September,2
29-09,September,3
30-09,September,2
10-Jan,October,2
10-Feb,October,3
10-Mar,October,3
10-Apr,October,4
10-May,October,3
10-Jun,October,3
10-Jul,October,1
10-Aug,October,2
10-Sep,October,6
10-Oct,October,1
10-Nov,October,3
10-Dec,October,3
13-10,October,1
14-10,October,4
15-10,October,3
16-10,October,3
17-10,October,6
18-10,October,4
19-10,October,3
20-10,October,2
21-10,October,3
22-10,October,3
23-10,October,2
24-10,October,2
25-10,October,2
26-10,October,2
27-10,October,2
28-10,October,1
29-10,October,1
30-10,October,3
31-10,October,2
11-Jan,November,4
11-Feb,November,1
11-Mar,November,1
11-Apr,November,1
11-May,November,1
11-Jun,November,1
11-Jul,November,1
11-Aug,November,2
11-Sep,November,2
11-Oct,November,1
11-Dec,November,3
13-11,November,2
14-11,November,1
15-11,November,3
16-11,November,2
17-11,November,3
18-11,November,2
19-11,November,1
21-11,November,1
22-11,November,1
23-11,November,2
26-11,November,3
27-11,November,2
28-11,November,1
29-11,November,1
30-11,November,2
12-Jan,December,2
12-Feb,December,1
12-Mar,December,2
12-Apr,December,1
12-May,December,1
12-Aug,December,1
12-Sep,December,1
12-Nov,December,1
12-Dec,December,2
15-12,December,1
18-12,December,1
31-12,December,1
